D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_39_073.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_39_073.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_39_073.jpg,0,0,0,1.513265E-05
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_39_139.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_39_139.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_39_139.jpg,0,0,0,5.097642E-06
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_39_217.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_39_217.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_39_217.jpg,0,0,0,4.831054E-06
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_39_285.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_39_285.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_39_285.jpg,0,0,0,1.842784E-06
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_39_359.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_39_359.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_39_359.jpg,0,0,0,3.138293E-06
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_39_437.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_39_437.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_39_437.jpg,0,0,0,9.851859E-06
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_39_507.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_39_507.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_39_507.jpg,0,0,0,1.468168E-06
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_39_584.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_39_584.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_39_584.jpg,0,0,0,2.566654E-06
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_39_661.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_39_661.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_39_661.jpg,0,0,0,1.048069E-06
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_39_738.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_39_738.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_39_738.jpg,0,0,0,9.185078E-06
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_39_806.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_39_806.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_39_806.jpg,0,0,0,2.976321E-06
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_39_881.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_39_881.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_39_881.jpg,0,0,0,1.067945E-05
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_39_948.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_39_948.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_39_948.jpg,0,0,0,8.918725E-06
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_40_028.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_40_028.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_40_028.jpg,0,0,0,1.985301E-06
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_40_105.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_40_105.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_40_105.jpg,0,0,0,4.866006E-06
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_40_184.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_40_184.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_40_184.jpg,0,0,0,5.097034E-06
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_40_267.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_40_267.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_40_267.jpg,0,0.04420622,0,0.01642556
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_40_343.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_40_343.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_40_343.jpg,0,0.2418761,0,0.1544248
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_40_420.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_40_420.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_40_420.jpg,0,0.4710234,0,0.5132924
D:\DANE_UDACITY\IMG\center_2019_03_16_14_32_40_488.jpg,D:\DANE_UDACITY\IMG\left_2019_03_16_14_32_40_488.jpg,D:\DANE_UDACITY\IMG\right_2019_03_16_14_32_40_488.jpg,0,0.7137268,0,1.021312
